date,description,amount,category
2026-01-02,Rent,18000,Rent
2026-01-05,Groceries,3200,Food
2026-01-08,Metro card,900,Transport
2026-01-12,Netflix,649,Entertainment
2026-02-02,Rent,18000,Rent
2026-02-05,Restaurant dinner,2200,Food
2026-02-09,Ola rides,1100,Transport
2026-02-14,Internet bill,999,Bills
2026-03-02,Rent,18000,Rent
2026-03-06,Groceries,3500,Food
2026-03-10,Petrol,1500,Transport
2026-03-16,Amazon shopping,4200,Shopping
2026-04-02,Rent,18000,Rent
2026-04-07,Cafe and food,1800,Food
2026-04-11,Train travel,800,Transport
2026-05-02,Rent,18000,Rent
2026-05-08,Groceries,3600,Food
2026-05-12,Shopping cosmetics,2800,Shopping
2026-06-02,Rent,18000,Rent
2026-06-06,Restaurant,2400,Food
2026-07-02,Rent,18000,Rent
2026-07-05,Groceries,3900,Food
2026-07-11,Amazon purchase,3300,Shopping
2026-08-02,Rent,18000,Rent
2026-08-05,Food delivery,2600,Food
